sequenceid,subjectid,eye,sensorid,contacts
02463d1144,nd1S02463,Left,nd1N00006,N
02463d1198,nd1S02463,Right,nd1N00006,N
02463d1272,nd1S02463,Left,nd1N00006,N
02463d1274,nd1S02463,Left,nd1N00006,N
02463d1290,nd1S02463,Left,nd1N00006,N
02463d1370,nd1S02463,Right,nd1N00006,N
02463d1410,nd1S02463,Right,nd1N00006,N
02463d1488,nd1S02463,Left,nd1N00006,N
02463d1542,nd1S02463,Right,nd1N00006,N
02463d1688,nd1S02463,Left,nd1N00006,N
02463d1727,nd1S02463,Left,nd1N00006,N
02463d2371,nd1S02463,Right,nd1N00006,N
02463d2397,nd1S02463,Right,nd1N00006,N
02463d2677,nd1S02463,Left,nd1N00006,N
02463d3050,nd1S02463,Left,nd1N00006,N
02463d3077,nd1S02463,Right,nd1N00006,N
02463d3121,nd1S02463,Left,nd1N00006,N
02463d4209,nd1S02463,Left,nd1N00006,N
02463d870,nd1S02463,Left,nd1N00006,N
04202d1123,nd1S04202,Right,nd1N00006,N
04202d1146,nd1S04202,Right,nd1N00006,N
04202d1211,nd1S04202,Left,nd1N00006,N
04202d1254,nd1S04202,Left,nd1N00006,N
04202d1287,nd1S04202,Right,nd1N00006,N
04202d1299,nd1S04202,Right,nd1N00006,N
04202d1304,nd1S04202,Right,nd1N00006,N
04202d1422,nd1S04202,Left,nd1N00006,N
04202d1485,nd1S04202,Right,nd1N00006,N
04202d1491,nd1S04202,Right,nd1N00006,N
04202d1620,nd1S04202,Left,nd1N00006,N
04202d1708,nd1S04202,Right,nd1N00006,N
04203d1065,nd1S04203,Left,nd1N00006,N
04203d1111,nd1S04203,Right,nd1N00006,N
04203d1124,nd1S04203,Right,nd1N00006,N
04203d1307,nd1S04203,Right,nd1N00006,N
04203d1322,nd1S04203,Right,nd1N00006,N
04203d1405,nd1S04203,Left,nd1N00006,N
04203d1456,nd1S04203,Right,nd1N00006,N
04203d1480,nd1S04203,Right,nd1N00006,N
04203d732,nd1S04203,Left,nd1N00006,N
04203d758,nd1S04203,Right,nd1N00006,N
04214d165,nd1S04214,Left,nd1N00006,N
04221d1067,nd1S04221,Left,nd1N00006,N
04221d1101,nd1S04221,Left,nd1N00006,N
04221d1125,nd1S04221,Left,nd1N00006,N
04221d1142,nd1S04221,Right,nd1N00006,N
04221d1175,nd1S04221,Right,nd1N00006,N
04221d1194,nd1S04221,Right,nd1N00006,N
04221d1215,nd1S04221,Left,nd1N00006,N
04221d1265,nd1S04221,Left,nd1N00006,N
04221d1272,nd1S04221,Left,nd1N00006,N
04221d1280,nd1S04221,Left,nd1N00006,N
04221d1321,nd1S04221,Right,nd1N00006,N
04221d1399,nd1S04221,Left,nd1N00006,N
04221d1512,nd1S04221,Right,nd1N00006,N
04221d1675,nd1S04221,Right,nd1N00006,N
04221d1676,nd1S04221,Right,nd1N00006,N
04221d767,nd1S04221,Right,nd1N00006,N
04225d646,nd1S04225,Left,nd1N00006,N
04225d869,nd1S04225,Right,nd1N00006,N
04233d1049,nd1S04233,Right,nd1N00006,N
04233d1059,nd1S04233,Right,nd1N00006,N
04233d1073,nd1S04233,Right,nd1N00006,N
04233d1169,nd1S04233,Left,nd1N00006,N
04233d1193,nd1S04233,Right,nd1N00006,N
04233d1249,nd1S04233,Right,nd1N00006,N
04233d1295,nd1S04233,Left,nd1N00006,N
04233d1306,nd1S04233,Left,nd1N00006,N
04233d1319,nd1S04233,Left,nd1N00006,N
04233d1324,nd1S04233,Left,nd1N00006,N
04233d1762,nd1S04233,Left,nd1N00006,N
04233d1769,nd1S04233,Right,nd1N00006,N
04233d1795,nd1S04233,Left,nd1N00006,N
04233d1907,nd1S04233,Right,nd1N00006,N
04233d2182,nd1S04233,Right,nd1N00006,N
04233d2199,nd1S04233,Left,nd1N00006,N
04233d2227,nd1S04233,Left,nd1N00006,N
04233d2363,nd1S04233,Left,nd1N00006,N
04233d2409,nd1S04233,Left,nd1N00006,N
04233d2464,nd1S04233,Right,nd1N00006,N
04233d2514,nd1S04233,Left,nd1N00006,N
04233d2559,nd1S04233,Right,nd1N00006,N
04233d2570,nd1S04233,Left,nd1N00006,N
04233d2616,nd1S04233,Left,nd1N00006,N
04233d2756,nd1S04233,Left,nd1N00006,N
04233d2764,nd1S04233,Left,nd1N00006,N
04233d2797,nd1S04233,Left,nd1N00006,N
04233d2816,nd1S04233,Left,nd1N00006,N
04233d2863,nd1S04233,Left,nd1N00006,N
04233d2873,nd1S04233,Left,nd1N00006,N
04233d2928,nd1S04233,Left,nd1N00006,N
04233d3944,nd1S04233,Right,nd1N00006,N
04233d4073,nd1S04233,Right,nd1N00006,N
04233d4076,nd1S04233,Right,nd1N00006,N
04233d684,nd1S04233,Right,nd1N00006,N
04233d985,nd1S04233,Left,nd1N00006,N
04233d995,nd1S04233,Left,nd1N00006,N
04236d188,nd1S04236,Left,nd1N00006,N
04239d1070,nd1S04239,Left,nd1N00006,N
04239d1074,nd1S04239,Left,nd1N00006,N
04239d1118,nd1S04239,Left,nd1N00006,N
04239d1229,nd1S04239,Left,nd1N00006,N
04239d1245,nd1S04239,Left,nd1N00006,N
04239d1282,nd1S04239,Right,nd1N00006,N
04239d686,nd1S04239,Right,nd1N00006,N
04239d917,nd1S04239,Left,nd1N00006,N
04252d417,nd1S04252,Left,nd1N00006,S
04252d469,nd1S04252,Left,nd1N00006,S
04252d472,nd1S04252,Left,nd1N00006,S
04252d476,nd1S04252,Right,nd1N00006,S
04261d1098,nd1S04261,Left,nd1N00006,N
04261d1105,nd1S04261,Right,nd1N00006,N
04261d1185,nd1S04261,Left,nd1N00006,N
04261d1585,nd1S04261,Left,nd1N00006,N
04261d1593,nd1S04261,Right,nd1N00006,N
04261d1609,nd1S04261,Left,nd1N00006,N
04261d2123,nd1S04261,Right,nd1N00006,N
04261d2164,nd1S04261,Left,nd1N00006,N
04261d671,nd1S04261,Left,nd1N00006,N
04261d699,nd1S04261,Right,nd1N00006,N
04261d714,nd1S04261,Right,nd1N00006,N
04261d744,nd1S04261,Right,nd1N00006,N
04261d752,nd1S04261,Left,nd1N00006,N
04261d796,nd1S04261,Right,nd1N00006,N
04261d925,nd1S04261,Right,nd1N00006,N
04267d242,nd1S04267,Left,nd1N00006,N
04267d243,nd1S04267,Left,nd1N00006,N
04267d347,nd1S04267,Left,nd1N00006,N
04267d361,nd1S04267,Right,nd1N00006,N
04267d372,nd1S04267,Left,nd1N00006,N
04267d433,nd1S04267,Right,nd1N00006,N
04267d502,nd1S04267,Right,nd1N00006,N
04267d504,nd1S04267,Left,nd1N00006,N
04267d526,nd1S04267,Right,nd1N00006,N
04267d539,nd1S04267,Right,nd1N00006,N
04267d544,nd1S04267,Left,nd1N00006,N
04267d583,nd1S04267,Left,nd1N00006,N
04267d625,nd1S04267,Right,nd1N00006,N
04267d643,nd1S04267,Left,nd1N00006,N
04284d210,nd1S04284,Left,nd1N00006,N
04284d374,nd1S04284,Left,nd1N00006,N
04284d427,nd1S04284,Left,nd1N00006,N
04284d478,nd1S04284,Right,nd1N00006,N
04284d508,nd1S04284,Right,nd1N00006,N
04284d520,nd1S04284,Right,nd1N00006,N
04284d545,nd1S04284,Left,nd1N00006,N
04284d546,nd1S04284,Left,nd1N00006,N
04284d551,nd1S04284,Left,nd1N00006,N
04286d1032,nd1S04286,Right,nd1N00006,N
04286d1056,nd1S04286,Right,nd1N00006,N
04286d1103,nd1S04286,Left,nd1N00006,N
04286d1112,nd1S04286,Left,nd1N00006,N
04286d1114,nd1S04286,Left,nd1N00006,N
04286d1142,nd1S04286,Right,nd1N00006,N
04286d1153,nd1S04286,Right,nd1N00006,N
04286d831,nd1S04286,Left,nd1N00006,N
04286d858,nd1S04286,Right,nd1N00006,N
04286d898,nd1S04286,Right,nd1N00006,N
04286d941,nd1S04286,Left,nd1N00006,N
04286d985,nd1S04286,Left,nd1N00006,N
04286d999,nd1S04286,Right,nd1N00006,N
04297d579,nd1S04297,Right,nd1N00006,N
04297d581,nd1S04297,Left,nd1N00006,N
04297d661,nd1S04297,Right,nd1N00006,N
04301d1006,nd1S04301,Right,nd1N00006,N
04301d1082,nd1S04301,Left,nd1N00006,N
04301d1102,nd1S04301,Left,nd1N00006,N
04301d1111,nd1S04301,Left,nd1N00006,N
04301d1307,nd1S04301,Right,nd1N00006,N
04301d974,nd1S04301,Left,nd1N00006,N
04301d989,nd1S04301,Right,nd1N00006,N
04309d309,nd1S04309,Left,nd1N00006,N
04309d376,nd1S04309,Right,nd1N00006,N
04309d407,nd1S04309,Right,nd1N00006,N
04309d450,nd1S04309,Right,nd1N00006,N
04309d452,nd1S04309,Right,nd1N00006,N
04309d458,nd1S04309,Right,nd1N00006,N
04311d632,nd1S04311,Right,nd1N00006,N
04311d781,nd1S04311,Right,nd1N00006,N
04311d799,nd1S04311,Left,nd1N00006,N
04311d805,nd1S04311,Right,nd1N00006,N
04312d389,nd1S04312,Right,nd1N00006,N
04312d591,nd1S04312,Left,nd1N00006,N
04312d593,nd1S04312,Left,nd1N00006,N
04312d650,nd1S04312,Right,nd1N00006,N
04312d716,nd1S04312,Left,nd1N00006,N
04312d717,nd1S04312,Left,nd1N00006,N
04312d734,nd1S04312,Left,nd1N00006,N
04312d751,nd1S04312,Left,nd1N00006,N
04312d804,nd1S04312,Right,nd1N00006,N
04313d114,nd1S04313,Left,nd1N00006,N
04313d118,nd1S04313,Right,nd1N00006,N
04313d131,nd1S04313,Right,nd1N00006,N
04313d139,nd1S04313,Right,nd1N00006,N
04313d84,nd1S04313,Left,nd1N00006,N
04319d365,nd1S04319,Left,nd1N00006,N
04319d375,nd1S04319,Left,nd1N00006,N
04319d392,nd1S04319,Right,nd1N00006,N
04319d580,nd1S04319,Left,nd1N00006,N
04319d649,nd1S04319,Right,nd1N00006,N
04319d688,nd1S04319,Left,nd1N00006,N
04319d723,nd1S04319,Right,nd1N00006,N
04319d740,nd1S04319,Left,nd1N00006,N
04319d751,nd1S04319,Left,nd1N00006,N
04319d830,nd1S04319,Right,nd1N00006,N
04322d193,nd1S04322,Right,nd1N00006,N
04324d545,nd1S04324,Right,nd1N00006,N
04324d571,nd1S04324,Left,nd1N00006,N
04324d588,nd1S04324,Right,nd1N00006,N
04327d1050,nd1S04327,Left,nd1N00006,N
04327d1418,nd1S04327,Right,nd1N00006,N
04327d1602,nd1S04327,Left,nd1N00006,N
04327d1607,nd1S04327,Left,nd1N00006,N
04327d1804,nd1S04327,Right,nd1N00006,N
04327d1918,nd1S04327,Right,nd1N00006,N
04327d2037,nd1S04327,Right,nd1N00006,N
04327d2182,nd1S04327,Right,nd1N00006,N
04327d3865,nd1S04327,Left,nd1N00006,N
04327d3876,nd1S04327,Right,nd1N00006,N
04327d3884,nd1S04327,Right,nd1N00006,N
04327d3887,nd1S04327,Right,nd1N00006,N
04327d3960,nd1S04327,Right,nd1N00006,N
04327d3972,nd1S04327,Right,nd1N00006,N
04327d4010,nd1S04327,Left,nd1N00006,N
04327d571,nd1S04327,Left,nd1N00006,N
04327d589,nd1S04327,Left,nd1N00006,N
04327d594,nd1S04327,Left,nd1N00006,N
04327d595,nd1S04327,Left,nd1N00006,N
04327d596,nd1S04327,Left,nd1N00006,N
04327d617,nd1S04327,Right,nd1N00006,N
