sequenceid,subjectid,eye,sensorid,contacts
02463d1894,nd1S02463,Right,nd1N00020,N
02463d1911,nd1S02463,Left,nd1N00020,N
02463d2752,nd1S02463,Right,nd1N00020,N
02463d2756,nd1S02463,Right,nd1N00020,N
02463d3214,nd1S02463,Left,nd1N00020,N
02463d3475,nd1S02463,Right,nd1N00020,N
02463d3705,nd1S02463,Left,nd1N00020,N
04233d1676,nd1S04233,Right,nd1N00020,N
04233d1716,nd1S04233,Right,nd1N00020,N
04233d1738,nd1S04233,Right,nd1N00020,N
04233d1827,nd1S04233,Left,nd1N00020,N
04233d1856,nd1S04233,Right,nd1N00020,N
04233d2135,nd1S04233,Right,nd1N00020,N
04233d2171,nd1S04233,Left,nd1N00020,N
04233d2448,nd1S04233,Right,nd1N00020,N
04233d2477,nd1S04233,Left,nd1N00020,N
04233d2508,nd1S04233,Right,nd1N00020,N
04233d2600,nd1S04233,Left,nd1N00020,N
04233d3151,nd1S04233,Right,nd1N00020,N
04252d410,nd1S04252,Left,nd1N00020,S
04252d428,nd1S04252,Left,nd1N00020,S
04252d463,nd1S04252,Left,nd1N00020,S
04252d465,nd1S04252,Left,nd1N00020,S
04252d468,nd1S04252,Right,nd1N00020,S
04261d1011,nd1S04261,Right,nd1N00020,S
04261d1013,nd1S04261,Right,nd1N00020,S
04261d1014,nd1S04261,Left,nd1N00020,S
04261d1087,nd1S04261,Left,nd1N00020,S
04261d1112,nd1S04261,Left,nd1N00020,S
04261d1175,nd1S04261,Right,nd1N00020,S
04261d1287,nd1S04261,Left,nd1N00020,S
04261d1319,nd1S04261,Left,nd1N00020,S
04261d1502,nd1S04261,Right,nd1N00020,S
04261d1535,nd1S04261,Left,nd1N00020,S
04261d1573,nd1S04261,Left,nd1N00020,S
04261d1574,nd1S04261,Right,nd1N00020,S
04261d1600,nd1S04261,Right,nd1N00020,S
04261d1604,nd1S04261,Right,nd1N00020,S
04261d1632,nd1S04261,Right,nd1N00020,S
04261d998,nd1S04261,Left,nd1N00020,S
04267d465,nd1S04267,Left,nd1N00020,N
04327d1340,nd1S04327,Left,nd1N00020,N
04327d1341,nd1S04327,Right,nd1N00020,N
04327d1424,nd1S04327,Left,nd1N00020,N
04327d1756,nd1S04327,Right,nd1N00020,N
04327d1975,nd1S04327,Left,nd1N00020,N
04327d2004,nd1S04327,Left,nd1N00020,N
04327d2005,nd1S04327,Right,nd1N00020,N
04327d2008,nd1S04327,Left,nd1N00020,N
04327d2040,nd1S04327,Left,nd1N00020,N
04327d2044,nd1S04327,Left,nd1N00020,N
04327d2132,nd1S04327,Left,nd1N00020,N
04327d2375,nd1S04327,Left,nd1N00020,N
04327d2472,nd1S04327,Right,nd1N00020,N
04327d2880,nd1S04327,Right,nd1N00020,N
04327d2920,nd1S04327,Left,nd1N00020,N
04327d2923,nd1S04327,Left,nd1N00020,N
04327d3015,nd1S04327,Right,nd1N00020,N
04385d1418,nd1S04385,Right,nd1N00020,N
04385d1480,nd1S04385,Left,nd1N00020,N
04385d1503,nd1S04385,Left,nd1N00020,N
04385d1737,nd1S04385,Left,nd1N00020,N
04385d1811,nd1S04385,Left,nd1N00020,N
04385d1927,nd1S04385,Right,nd1N00020,N
04385d2151,nd1S04385,Left,nd1N00020,N
04385d2215,nd1S04385,Left,nd1N00020,N
04385d2682,nd1S04385,Right,nd1N00020,N
04385d2971,nd1S04385,Left,nd1N00020,N
04385d3014,nd1S04385,Left,nd1N00020,N
04385d3017,nd1S04385,Left,nd1N00020,N
04385d3019,nd1S04385,Right,nd1N00020,N
04394d1549,nd1S04394,Right,nd1N00020,N
04394d1551,nd1S04394,Right,nd1N00020,N
04394d1893,nd1S04394,Left,nd1N00020,N
04394d2229,nd1S04394,Left,nd1N00020,N
04394d2419,nd1S04394,Right,nd1N00020,N
04394d2807,nd1S04394,Left,nd1N00020,N
