sequenceid,subjectid,eye,sensorid,contacts
02463d3364,nd1S02463,Right,nd1N00049,N
02463d3398,nd1S02463,Left,nd1N00049,N
02463d3405,nd1S02463,Right,nd1N00049,N
02463d3738,nd1S02463,Left,nd1N00049,N
02463d3795,nd1S02463,Left,nd1N00049,N
04233d3018,nd1S04233,Right,nd1N00049,N
04233d3175,nd1S04233,Left,nd1N00049,N
04233d3527,nd1S04233,Right,nd1N00049,N
04261d1798,nd1S04261,Left,nd1N00049,S
04261d1876,nd1S04261,Left,nd1N00049,S
04261d1877,nd1S04261,Left,nd1N00049,S
04261d1913,nd1S04261,Left,nd1N00049,S
04327d2423,nd1S04327,Right,nd1N00049,N
04327d2596,nd1S04327,Left,nd1N00049,N
04385d2542,nd1S04385,Left,nd1N00049,N
04385d2544,nd1S04385,Right,nd1N00049,N
04385d2614,nd1S04385,Left,nd1N00049,N
04385d2690,nd1S04385,Left,nd1N00049,N
04385d2691,nd1S04385,Left,nd1N00049,N
04385d2960,nd1S04385,Left,nd1N00049,N
04385d2999,nd1S04385,Left,nd1N00049,N
04385d3006,nd1S04385,Right,nd1N00049,N
04385d3149,nd1S04385,Left,nd1N00049,N
04394d2697,nd1S04394,Right,nd1N00049,N
04394d2786,nd1S04394,Right,nd1N00049,N
04394d2801,nd1S04394,Left,nd1N00049,N
04394d3125,nd1S04394,Left,nd1N00049,N
04394d3172,nd1S04394,Right,nd1N00049,N
04418d1204,nd1S04418,Left,nd1N00049,N
04418d1371,nd1S04418,Right,nd1N00049,N
04470d2717,nd1S04470,Right,nd1N00049,N
04470d2784,nd1S04470,Left,nd1N00049,N
04470d2842,nd1S04470,Right,nd1N00049,N
04470d2881,nd1S04470,Right,nd1N00049,N
04470d2951,nd1S04470,Left,nd1N00049,N
04470d2954,nd1S04470,Right,nd1N00049,N
04470d3246,nd1S04470,Right,nd1N00049,N
04470d3252,nd1S04470,Left,nd1N00049,N
04470d3376,nd1S04470,Left,nd1N00049,N
04470d3380,nd1S04470,Right,nd1N00049,N
04621d1003,nd1S04621,Left,nd1N00049,S
04621d1008,nd1S04621,Right,nd1N00049,S
04621d1010,nd1S04621,Right,nd1N00049,S
04621d1053,nd1S04621,Left,nd1N00049,S
04621d1059,nd1S04621,Right,nd1N00049,S
04621d772,nd1S04621,Left,nd1N00049,S
04621d774,nd1S04621,Left,nd1N00049,S
04621d775,nd1S04621,Left,nd1N00049,S
04621d777,nd1S04621,Right,nd1N00049,S
04621d851,nd1S04621,Right,nd1N00049,S
04621d852,nd1S04621,Right,nd1N00049,S
04649d1103,nd1S04649,Left,nd1N00049,N
04649d573,nd1S04649,Left,nd1N00049,N
04649d763,nd1S04649,Left,nd1N00049,N
04649d768,nd1S04649,Right,nd1N00049,N
04649d839,nd1S04649,Left,nd1N00049,N
04725d1399,nd1S04725,Left,nd1N00049,N
04725d1718,nd1S04725,Left,nd1N00049,N
04725d1759,nd1S04725,Left,nd1N00049,N
04725d1806,nd1S04725,Right,nd1N00049,N
05015d1478,nd1S05015,Left,nd1N00049,N
05015d1887,nd1S05015,Right,nd1N00049,N
05015d2063,nd1S05015,Left,nd1N00049,N
05033d2054,nd1S05033,Right,nd1N00049,N
05033d2125,nd1S05033,Right,nd1N00049,N
05033d2127,nd1S05033,Right,nd1N00049,N
05033d2515,nd1S05033,Left,nd1N00049,N
05033d2516,nd1S05033,Right,nd1N00049,N
05033d2517,nd1S05033,Right,nd1N00049,N
05033d2662,nd1S05033,Right,nd1N00049,N
05245d257,nd1S05245,Left,nd1N00049,N
05245d258,nd1S05245,Right,nd1N00049,N
05245d77,nd1S05245,Right,nd1N00049,N
05245d93,nd1S05245,Left,nd1N00049,N
05246d1059,nd1S05246,Left,nd1N00049,N
05246d1060,nd1S05246,Left,nd1N00049,N
05246d814,nd1S05246,Right,nd1N00049,N
05293d1339,nd1S05293,Left,nd1N00049,N
05293d1384,nd1S05293,Right,nd1N00049,N
05293d1681,nd1S05293,Right,nd1N00049,N
05297d227,nd1S05297,Left,nd1N00049,N
05297d230,nd1S05297,Right,nd1N00049,N
05297d294,nd1S05297,Right,nd1N00049,N
05301d1215,nd1S05301,Right,nd1N00049,N
05301d1216,nd1S05301,Right,nd1N00049,N
05301d1809,nd1S05301,Right,nd1N00049,N
05310d1191,nd1S05310,Right,nd1N00049,N
05310d1224,nd1S05310,Left,nd1N00049,N
